Country name,Code,Continent,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Security index,Unemployment rate,Blue Index
Ghana,GHA,Africa,0.5497076023391814,0.3210412147505424,0.44230769230769235,0.31597222222222204,0.625,0.4935064935064935,0.8607594936708861,0.10356180784196349,0.6197078656892809,0.07874832562870752,0.016420361247947456,0.17868338557993735,,,,0.7535816618911176,,,0.003590057568143507,0.3111111111111111,0.14033107599699018,0.2673393330533173
Greece,GRC,Europe,0.48538011695906436,0.7114967462039045,0.5961538461538461,0.8506944444444445,0.01785714285714287,0.0,0.8987341772151899,0.07961688117330139,0.2891894083932613,0.6073813336556183,0.8932676518883417,0.9122257053291537,0.7283950617283951,,,,,0.31335953981117504,0.07602732101396266,0.3888888888888889,0.7900677200902934,0.32539587440739365
Guatemala,GTM,Americas,0.7153996101364523,0.4511930585683298,0.7499999999999999,0.5833333333333333,0.8571428571428571,0.2987012987012987,0.8101265822784811,0.08410655492367554,0.353038752983524,0.1689528758900605,,0.2100313479623825,,,,0.9249283667621777,,0.019009302915374594,0.006182214306160745,0.7333333333333333,0.07411587659894657,0.20203272793242
Guinea,GIN,Africa,0.43079922027290446,0.1887201735357918,0.36538461538461536,0.19444444444444425,0.5535714285714285,0.4285714285714285,0.7468354430379747,0.10326249625860519,0.3223866647098354,0.33411386731929377,,0.10971786833855794,,,,0.3684813753581662,,0.0010144443035494024,3.975700518431348e-06,0.8666666666666667,0.14409330323551542,0.25325434276257813
Haiti,HTI,Americas,0.22612085769980503,0.1258134490238612,0.40384615384615385,0.27083333333333326,0.08928571428571426,0.87012987012987,0.6202531645569621,0.1260101765938342,0.25863001212720427,0.22293561349971297,,0.23824451410658307,,,,0.48252148997134664,,0.005256665936574176,0.0017652110301835183,0.7444444444444445,0.49811888638073737,0.20252526740691712
Honduras,HND,Americas,0.654970760233918,0.3405639913232105,0.7692307692307692,0.6701388888888888,0.8392857142857143,0.4805194805194805,0.7848101265822786,0.025441484585453457,0.4619151713643491,0.19743481282291447,0.04433497536945813,0.23824451410658307,,0.899641577060932,0.7011834319526628,,,0.009683331988426113,0.0028068445660125313,0.7,0.1896162528216704,0.228263822924239
Hong Kong S.A.R. of China,HKG,Asia,0.5263157894736843,0.8893709327548808,0.7499999999999999,,0.7142857142857142,0.5454545454545454,0.32911392405063294,,,,,,,,,0.6240687679083096,,0.3213137053730965,0.15168887758022964,,0.09781790820165535,
Hungary,HUN,Europe,0.6647173489278753,0.7310195227765726,0.8461538461538461,0.6770833333333334,0.41071428571428575,0.19480519480519476,0.9240506329113924,0.5375636037114636,0.6485177003112906,0.24386903143285893,0.541871921182266,0.8432601880877743,,,,,,0.18183914141123037,0.033523106771413125,0.1888888888888889,0.1380737396538751,0.4766501118185377
India,IND,Asia,0.2709551656920077,0.42299349240780904,0.32692307692307687,0.4166666666666667,0.8214285714285714,0.3116883116883117,0.7848101265822786,0.37144567494762043,0.5618139825893512,0.09328136487697777,0.12151067323481117,0.3918495297805642,0.345679012345679,,,,,0.1790494195764695,0.1107709678445342,0.7111111111111111,0.1854778028592927,0.34218034080464976
Indonesia,IDN,Asia,0.47563352826510713,0.5401301518438179,0.6923076923076924,0.49305555555555547,0.7857142857142857,1.0,0.9367088607594938,0.006285543250523794,0.4546446420157421,0.20967660714465558,0.055829228243021355,0.46394984326018807,0.4074074074074074,0.4551971326164876,0.12130177514792899,,,0.1617231719828928,0.05834340510798003,0.5777777777777778,0.1388261851015801,0.22353559747030716
